t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
443.0,1954135.7637375183,3672748.5323917437,4873275.997726151,-1457.8507971547078,-3345.382574621588,2323.5748206079006
444.0,1952683.1701777668,3669404.4786361023,4875600.7338480335,-1446.7045093572233,-3342.3505964674987,2326.3034506337717
445.0,1951242.354718804,3666063.8311988087,4877928.604627418,-1434.251881678705,-3338.540691026021,2329.8661958212033
446.0,1949814.6664144094,3662727.3972540502,4880260.466239676,-1420.4084626224358,-3333.8938624695875,2334.305060262792
447.0,1948401.537793559,3659396.0434738696,4882597.214747944,-1405.0927895753412,-3328.3505824587774,2339.6569705349393
448.0,1947004.4808352587,3656070.6960891327,4884939.780180746,-1388.2286309227347,-3321.8518475415185,2345.9520046934485
449.0,1945625.0805317136,3652752.3397787865,4887289.118757331,-1369.7475553026889,-3314.340471071424,2353.211485498119
450.0,1944264.9857246534,3649442.01514699,4889646.203151742,-1349.5917903486406,-3305.762615787331,2361.446003072895
451.0,1942925.8969510163,3646140.814547212,4892012.010763477,-1326.0582572027342,-3295.0788369134534,2371.7115729483776
452.0,1941612.8692102479,3642851.857473163,4894389.626297639,-1295.7237475396832,-3280.183409513207,2386.106431274209
453.0,1940334.449455937,3639580.4477281854,4896784.223626025,-1260.1054397122934,-3261.8782842413057,2403.5191974048503
454.0,1939092.6583308233,3636328.1009046803,4899196.664692448,-1222.5353139644722,-3242.0740491335746,2421.7194837983698
455.0,1937889.378828008,3633096.2996299183,4901627.662593622,-1183.1710234495113,-3220.8163805752993,2440.547648170963
456.0,1936726.3162839243,3629886.4681435297,4904077.75998879,-1142.2097291924292,-3198.1776388105936,2459.824940327555
457.0,1935604.959369623,3626699.944352297,4906547.312474277,-1099.8857667244738,-3174.2582361309323,2479.358661289327
458.0,1934526.5447504753,3623537.951671268,4909036.477311369,-1056.4660574501613,-3149.186229802901,2498.94791089464
459.0,1933492.0272547228,3620401.5718926913,4911545.208296066,-1012.2437924366677,-3123.1156414626166,2518.389926637057
460.0,1932502.057165602,3617291.7203883426,4914073.257164643,-967.5306908440543,-3096.223492395133,2537.486593583133
461.0,1931556.9658730347,3614209.124907901,4916620.181483232,-922.6482716720784,-3068.7056537286844,2556.0506795267574
462.0,1930656.7606222578,3611154.3090808853,4919185.358523697,-877.9186717160046,-3040.7717179015744,2573.9113754606806
463.0,1929801.1285296027,3608127.581472098,4921768.004234154,-833.6555805794196,-3012.639187799301,2590.9187953630462
464.0,1928989.449461099,3605129.0307052867,4924367.196114423,-790.1558402914088,-2984.5273398451973,2606.947199483402
465.0,1928220.8168490198,3602158.5267924075,4926981.898633121,-747.6921774653019,-2956.651138935704,2621.8968342998996
466.0,1927494.0651061684,3599215.7284274152,4929610.989783023,-706.5074137527263,-2929.2155646767933,2635.694410957396
467.0,1926807.8020215144,3596300.095663054,4932253.287455035,-666.8103546758648,-2902.4106544796377,2648.2923551169224
468.0,1926160.4443968167,3593410.907118456,4934907.574493256,-628.7734083583346,-2876.407489411533,2659.667042668443
469.0,1925550.2552047977,3590547.280684231,4937572.621540372,-592.5318524134345,-2851.3552557548974,2669.8162822346203
470.0,1924975.3806919898,3587708.196606946,4940247.207057726,-558.1845622624969,-2827.379421640653,2678.7563174264506
471.0,1924433.8860802727,3584892.5218409495,4942930.134175225,-525.7959441434359,-2804.580984736327,2686.5186051870696
472.0,1923923.788803703,3582099.0346374735,4945620.2442681,-495.39878162159584,-2783.0366811370477,2693.146589575801
473.0,1923443.0885170295,3579326.4484786754,4948316.427354377,-468.337719704723,-2763.8858138511423,2698.165064456407
474.0,1922987.1133642935,3576571.2630097712,4951016.574397013,-447.1482900342671,-2749.262284294702,2700.6575439623557
475.0,1922548.791936961,3573827.923910086,4953717.7424423015,-430.2068196410546,-2737.9432216868736,2701.355943429284
476.0,1922126.6997250114,3571095.3765663975,4956419.286283871,-414.6564730699174,-2727.6623069781344,2701.432338269893
477.0,1921719.4789908212,3568372.59929613,4959120.607118841,-400.4290935774334,-2718.383742052596,2700.931826181244
478.0,1921325.8415378565,3565658.6090822923,4961821.149936234,-387.45417220599484,-2710.0668027694337,2699.897241424769
479.0,1920944.5706464092,3562952.465690591,4964520.401601691,-375.6599339771783,-2702.6672856716905,2698.369371595327
480.0,1920574.5216699021,3560253.274510949,4967217.888679424,-364.9745559334988,-2696.1386991324835,2696.3867484657094
481.0,1920214.6215345422,3557560.188292326,4969913.175098622,-355.3271533679217,-2690.4332867655903,2693.98553484492
482.0,1919863.8673631663,3554872.4079374177,4972605.859749114,-346.6485575455008,-2685.502888365416,2691.1994865075685
483.0,1919521.3244194512,3552189.182515595,4975295.574071637,-338.87191001255997,-2681.2996485426556,2688.059971184004
484.0,1919186.1235431412,3549509.8086403324,4977981.979691482,-331.933098730864,-2677.7765863239765,2684.59602952376
485.0,1918857.4582219895,3546833.629342947,4980664.766130685,-325.7710602770094,-2674.888040675549,2680.834465689957
486.0,1918534.5814225872,3544160.0325589813,4983343.648622862,-320.3279706167523,-2672.590007476043,2676.799957725685
487.0,1918216.802280756,3541488.449327995,4986018.366046136,-315.54934480786324,-2670.840383235598,2672.5151799404994
488.0,1917903.4827329714,3538818.35179251,4988688.678982743,-311.38406362757087,-2669.599130065879,2668.000931386836
489.0,1917594.0341535008,3536149.2510678633,4991354.36790891,-307.7843427535845,-2668.8283752633724,2663.2762659839354
490.0,1917287.9140474643,3533480.6950419834,4994015.231514711,-304.7056578438496,-2668.4924575272016,2658.3586210235953
491.0,1916984.622837813,3530812.266152809,4996671.085150957,-302.1066367457388,-2668.557930420153,2653.263941786252
492.0,1916683.7007739728,3528143.579181143,4999321.759398283,-299.94892815547064,-2668.9935322778765,2648.006800695788
493.0,1916384.7249815022,3525474.279088253,5001967.098752349,-298.19705434457865,-2669.7701304163784,2642.6005100463517
494.0,1916087.3066652836,3522804.0389203103,5004606.960418376,-296.81825410947204,-2670.860646263929,2637.0572277549654
495.0,1915791.0884732832,3520132.5577957253,5007241.213207859,-295.78232083597686,-2672.2399669187143,2631.3880558963865
496.0,1915495.7420236117,3517459.558986473,5009869.736530169,-295.061439496465,-2673.884847627487,2625.6031320434995
497.0,1915200.9655942903,3514784.7881004703,5012492.419471946,-294.6300255121896,-2675.773808838334,2619.711713560857
498.0,1914906.4819725873,3512108.011368796,5015109.159957291,-294.46456767979544,-2677.8870307281613,2613.7222551275045
499.0,1914612.0364589307,3509429.014039014,5017719.863982201,-294.54347675153986,-2680.2062474675477,2607.6424798509106
500.0,1914317.3950190842,3506747.598873861,5020324.444916992,-294.84694078192115,-2682.714642981533,2601.47944432823
501.0,1914022.3425773669,3504063.584753051,5022922.822870857,-295.3567879559705,-2685.396749506006,2595.239598086104
502.0,1913726.6814431723,3501376.805374849,5025514.924113165,-296.05635731166694,-2688.2383498891722,2588.92883780133
503.0,1913430.2298627435,3498687.1080532726,5028100.68054646,-296.9303775380831,-2691.2263842993416,2582.5525566954166
504.0,1913132.820688096,3495994.3526062504,5030680.0292265555,-297.9648538354086,-2694.3488617681433,2576.1156895053573
505.0,1912834.3001550727,3493298.4103297363,5033252.91192547,-299.1469626938924,-2697.594776807353,2569.622753388714
506.0,1912534.5267627083,3490599.1630526357,5035819.274733333,-300.4649543494452,-2700.95403119782,2563.07788511971
507.0,1912233.3702463738,3487896.5022673407,5038379.06769571,-301.90806259878445,-2704.41736093862,2556.484874899499
508.0,1911930.7106375108,3485190.3283307585,5040932.244483132,-303.46642161603086,-2707.9762682626024,2549.847197073512
509.0,1911626.4374031418,3482480.5497308155,5043478.762089857,-305.1309893759899,-2711.6229585574474,2543.168038045522
510.0,1911320.4486587588,3479767.0824136436,5046018.580559223,-306.8934772805078,-2715.350281990133,2536.4503216417506
511.0,1911012.6504485807,3477049.849166835,5048551.66273314,-308.74628558475524,-2719.151679619914,2529.696732148528
512.0,1910702.9560875893,3474328.779054404,5051077.97402352,-310.68244421167765,-2723.021133732982,2522.9097352507524
513.0,1910391.2855601574,3471603.806899369,5053597.482203642,-312.6955585682299,-2726.9531221550424,2516.091597063467
514.0,1910077.5649704528,3468874.8728100937,5056110.157217647,-314.7797599826008,-2730.9425762873143,2509.244401425123
515.0,1909761.7260401922,3466141.9217467946,5058615.971006492,-316.9296604001429,-2734.9848425951786,2502.370065622963
516.0,1909443.7056496525,3463404.9031249033,5061114.897348893,-319.14031100133434,-2739.075647316873,2495.4703546985984
517.0,1909123.4454181895,3460663.770452161,5063606.911715889,-321.40716441650875,-2743.2110641431063,2488.5468944543973
518.0,1908800.8913208195,3457918.480996617,5066091.991137802,-323.7260402451502,-2747.3874846422113,2481.6011832957156
519.0,1908475.9933376992,3455168.9954828764,5068570.114082481,-326.09309359209146,-2751.6015912147705,2474.634603010025
520.0,1908148.7051336353,3452415.2778141876,5071041.260343822,-328.50478636601474,-2755.850332365837,2467.648428580258
521.0,1907818.9837649672,3449657.2948181448,5073505.410939641,-330.9578611056786,-2760.1309001185,2460.6438371292315
522.0,1907486.789411424,3446895.0160139506,5075962.54801808,-333.4493171083741,-2764.440709380666,2453.621916072443
523.0,1907152.0851307504,3444128.4133993834,5078412.654771786,-335.9763886574656,-2768.7773790983483,2446.5836705453694
524.0,1906814.836634109,3441357.461255754,5080855.715359171,-338.53652516915463,-2773.1387150511146,2439.5300301853567
525.0,1906475.0120804121,3438582.135969281,5083291.714832157,-341.1273730803514,-2777.52269414044,2432.4618553221226
526.0,1906132.5818879483,3435802.415867473,5085720.639069815,-343.74675932968967,-2781.927450046176,2425.37994262157
527.0,1905787.5185617527,3433018.281069189,5088142.4747174,-346.3926762874471,-2786.351260132622,2418.2850302490406
528.0,1905439.7965353734,3430229.7133472078,5090557.209130313,-349.06326799548697,-2790.792533487547,2411.1778025892563
529.0,1905089.3920257618,3427436.6960022138,5092964.830322579,-351.7568176148925,-2795.2498000003397,2404.0588945564814
530.0,1904736.2829001436,3424639.213747207,5095365.326919426,-354.51033413864207,-2799.7531838715076,2396.9114970341325
531.0,1904380.3713574845,3421837.1896344707,5097758.653316647,-357.39717231027316,-2804.3623807488475,2389.7023005639203
532.0,1904021.488555523,3419030.4889857094,5100144.731520554,-360.37280257139355,-2809.040858179098,2382.451020607259
533.0,1903659.6257523417,3416219.1079181125,5102523.555357861,-363.3568422481185,-2813.7229367329273,2375.193689979147
534.0,1903294.7748710269,3413403.0431122435,5104895.118900512,-366.3486523813335,-2818.408075312618,2367.9305441076867
535.0,1902926.928447579,3410582.2917674873,5107259.416446077,-369.3476436109049,-2823.095775530208,2360.6618000171147
536.0,1902556.079583805,3407756.851561183,5109616.442500547,-372.3532716584159,-2827.7855780934915,2353.387658239808
537.0,1902182.2219042622,3404926.7206113003,5111966.191762556,-375.36503344902303,-2832.477059419267,2346.1083041792735
538.0,1901805.349516907,3402091.8974423446,5114308.659108905,-378.38246358465403,-2837.1698285518214,2338.8239093553275
539.0,1901425.456977093,3399252.3809541967,5116643.839581267,-381.405131139094,-2841.8635243640747,2331.534632544499
540.0,1901042.5392546288,3396408.1703936164,5118971.728373994,-384.43263674119953,-2846.557813020656,2324.240620817989
541.0,1900656.5917036105,3393559.2653281554,5121292.320822903,-387.4646099213278,-2851.2523856614716,2316.9420104916207
542.0,1900267.6100347862,3390705.6656222935,5123605.612394977,-390.50070669082925,-2855.946956296917,2309.63892799709
543.0,1899875.5902902288,3387847.3714155615,5125911.598678897,-393.5406073364429,-2860.6412598919123,2302.3314906819724
544.0,1899480.5288201133,3384984.3831025097,5128210.275376341,-396.5840144044487,-2865.335050614085,2295.0198075408116
545.0,1899082.42226142,3382116.7013143334,5130501.638293979,-399.63065086409915,-2870.0281002435368,2287.7039798842743
546.0,1898681.267518385,3379244.3269020226,5132785.68333611,-402.6802584234392,-2874.7201967097353,2280.3841019626707
547.0,1898277.061744573,3376367.260920914,5135062.406497904,-405.73259599052835,-2879.4111427641474,2273.0602615308017
548.0,1897869.802326404,3373485.5046164943,5137331.803859171,-408.7874382658629,-2884.100754764164,2265.732540370431
549.0,1897459.4868680413,3370599.0594113856,5139593.871578645,-411.84457444457803,-2888.788861551322,2258.4010147782974
550.0,1897046.1131775149,3367707.9268933916,5141848.605888728,-414.9038070339011,-2893.4753034354653,2251.065756010823
551.0,1896629.6792539735,3364812.1088045146,5144096.003090667,-417.96495076280553,-2898.15993125597,2243.7268306948245
552.0,1896210.1832759893,3361911.6070308797,5146336.059550118,-421.0278315746691,-2902.842605518643,2236.384301213082
553.0,1895787.6235908242,3359006.4235934773,5148568.771693093,-424.0922857063124,-2907.5231956061907,2229.0382260587066
554.0,1895361.9987045766,3356096.5606396673,5150794.136002235,-427.158158834558,-2912.2015790482983,2221.6886601648293
555.0,1894933.307273155,3353182.0204353807,5153012.149013422,-430.2253052860033,-2916.877640852006,2214.3356552147307
556.0,1894501.5480940046,3350262.8053579633,5155222.807312665,-433.2935873098904,-2921.551272880053,2206.9792599282227
557.0,1894066.7200985353,3347338.9178896206,5157426.107533279,-436.3628744019661,-2926.2223732788116,2199.619520328939
558.0,1893628.8223452007,3344410.3606114057,5159622.046353322,-439.43304267479107,-2930.8908459485974,2192.256479999982
559.0,1893187.8540131857,3341477.1361977234,5161810.620493279,-442.50397427449934,-2935.5566000496037,2184.890180323273
560.0,1892743.8143966517,3338539.2474113065,5163991.826713969,-445.57555683364626,-2940.219549546251,2177.5206607002765
561.0,1892296.7028995184,3335596.697098631,5166165.661814679,-448.647682963172,-2944.8796127811074,2170.147958766669
562.0,1891846.5190307254,3332649.4881857443,5168332.122631502,-451.7202497747494,-2949.5367120802402,2162.7721105958335
563.0,1891393.262399969,3329697.6236744705,5170491.206035871,-454.7931584259495,-2954.190773376962,2155.3931508925743
564.0,1890936.9327138735,3326741.1066389903,5172642.9089332875,-457.8663137004478,-2958.841725865612,2148.011113177985
565.0,1890477.529772568,3323779.9402227392,5174787.228262227,-460.9396236052271,-2963.489501675125,2140.626029966399
566.0,1890015.053466663,3320814.12763564,5176924.16099322,-464.0129989865236,-2968.134035557043,2133.237932942342
567.0,1889549.503774595,3317843.672151625,5179053.704128112,-467.08635316602886,-2972.775264593307,2125.8468531281687
568.0,1889080.880760331,3314868.5771064535,5181175.854699477,-470.15960159082897,-2977.413127916865,2118.452821044717
569.0,1888609.1845714133,3311888.8458957914,5183290.609770201,-473.2326614984777,-2982.0475664483383,2111.0558668784797
570.0,1888134.415437334,3308904.481973557,5185397.966433234,-476.30545158858877,-2986.6785226373468,2103.6560206408612
571.0,1887656.5736682361,3305915.4888505167,5187497.921811483,-479.37789170630276,-2991.3059402185027,2096.253312325105
572.0,1887175.6596539214,3302921.87009312,5189590.473057884,-482.4499025334371,-2995.929763974622,2088.8477720688097
573.0,1886691.6738631693,3299923.6293225675,5191675.6173556205,-485.52140528173186,-3000.549939504126,2081.439430314116
574.0,1886204.616843358,3296920.7702141115,5193753.351918512,-488.59232139145024,-3005.1664129954297,2074.0283179692924
575.0,1885714.4892203864,3293913.2964965766,5195823.673991559,-491.66257222997956,-3009.7791310034227,2066.61446657544
576.0,1885221.291698898,3290901.2119521047,5197886.580851663,-494.7320787921781,-3014.3880402320065,2059.197908474598
577.0,1884725.025062802,3287884.5204161126,5199942.069808508,-497.800761396531,-3018.9930873126723,2051.778676985763
578.0,1884225.690176105,3284863.2257774794,5201990.138205634,-500.86853937711567,-3023.5942185863387,2044.3568065860309
579.0,1883723.2879840478,3281837.33197894,5204030.78342168,-503.9353307711426,-3028.191379881697,2036.9323330959305
580.0,1883217.8195145626,3278806.843017716,5206064.002871826,-507.00105199893005,-3032.784516292624,2029.505293876864
581.0,1882709.28588005,3275771.7629463547,5208089.794009434,-510.065617532935,-3037.3735719521064,2022.0757280346006
582.0,1882197.6882794967,3272732.0958738117,5210108.1543278955,-513.1289395547938,-3041.9584897954483,2014.6436766381375
583.0,1881683.0280009403,3269687.845966764,5212119.08136271,-516.1909276008373,-3046.539211323252,2007.209182946477
584.0,1881165.306424295,3266639.0174511652,5214122.572693788,-519.2514881887473,-3051.115676352987,1999.7722926479764
585.0,1880644.5250245628,3263585.614614058,5216118.625948006,-522.3105244279141,-3055.6878227603156,1992.333054122515
