t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
286.0,2220530.557048212,4371407.335089599,4183039.349260781,-1561.9389462147374,-1529.853492041584,2340.229366400512
287.0,2218966.9038249785,4369874.438456795,4185376.5562779955,-1565.366757354932,-1535.938847752288,2334.18313696119
288.0,2217399.823533502,4368335.457394094,4187707.7155347033,-1568.793081996264,-1542.0223516058177,2328.133842091309
289.0,2215829.317660986,4366790.393753584,4190032.823962178,-1572.21791861346,-1548.104002926033,2322.081475372892
290.0,2214255.387696275,4365239.249388242,4192351.878485449,-1575.641265426064,-1554.1838005692698,2316.0260307504795
291.0,2212678.035130134,4363682.026152445,4194664.876023679,-1579.0631203609519,-1560.2617428619415,2309.967502572341
292.0,2211097.261455553,4362118.725902518,4196971.813490594,-1582.4834810185712,-1566.3378275390714,2303.9058856326155
293.0,2209513.0681680967,4360549.350497367,4199272.687794944,-1585.9023446338251,-1572.4120516763069,2297.841175217647
294.0,2207925.4567662855,4358973.901799166,4201567.495841029,-1589.3197080339305,-1578.4844116154127,2291.7733671567403
295.0,2206334.428752029,4357392.381674136,4203856.234529258,-1592.7355675951112,-1584.5549028860405,2285.7024578717537
296.0,2204739.9856310952,4355804.791993394,4206138.900756773,-1596.1499191981275,-1590.623520129826,2279.6284444411285
297.0,2203142.1289136326,4354211.134633876,4208415.49141814,-1599.562758175889,-1596.6902570030652,2273.5513246599585
298.0,2201540.8601147435,4352611.411479387,4210686.0034060925,-1602.974079261301,-1602.755106086377,2267.4710971065797
299.0,2199936.18075511,4351005.624421704,4212950.433612353,-1606.3838765302207,-1608.8180587803945,2261.3877612254582
300.0,2198328.092361683,4349393.775361827,4215208.778928543,-1609.79214333836,-1614.8791051902808,2255.3013174021617
301.0,2196716.5964684333,4347775.866211323,4217461.0362471575,-1613.1988722546957,-1620.9382340135053,2249.211767052766
302.0,2195101.6946171736,4346151.8988938,4219707.202462649,-1616.6040549892932,-1626.9954324006103,2243.119112727698
303.0,2193483.3883584547,4344521.875346522,4221947.274472613,-1620.0076823143754,-1633.0506858164445,2237.0233582118526
304.0,2191861.679252545,4342885.797522167,4224181.249179073,-1623.4097439767793,-1639.1039778823033,2230.9245086475275
305.0,2190236.568870501,4341243.667390757,4226409.123489908,-1626.8102286062203,-1645.15529020736,2224.822570662014
306.0,2188608.0587953324,4339595.486941752,4228630.894320397,-1630.2091236142442,-1651.2046022070572,2218.7175525045022
307.0,2186976.1506232726,4337941.258186343,4230846.558594917,-1633.6064150824677,-1657.2518908958882,2212.6094642071985
308.0,2185340.8459651675,4336280.98315996,4233056.113248811,-1637.0020876389463,-1663.2971306666732,2206.4983177562244
309.0,2183702.1464479947,4334614.66392501,4235259.555230429,-1640.3961243277881,-1669.3402930493467,2200.384127275087
310.0,2182060.053716512,4332942.302573862,4237456.881503361,-1643.788506464567,-1675.3813464469276,2194.2669092370197
311.0,2180414.5694350656,4331263.901232116,4239648.089048903,-1647.1792134719435,-1681.4202558356337,2188.146682693623
312.0,2178765.695289568,4329579.46206219,4241833.1748687485,-1650.5682227076031,-1687.456982448697,2182.023469524458
313.0,2177113.4329896504,4327888.9872672185,4244012.135987952,-1653.9555092714727,-1693.4914834219962,2175.8972947211005
314.0,2175457.784271025,4326192.479095346,4246184.969458191,-1657.3410457912832,-1699.523711399641,2169.7681866930798
315.0,2173798.750898068,4324489.939844419,4248351.6723613385,-1660.7248021911364,-1705.5536141125485,2163.636177612003
316.0,2172136.334666643,4322781.371867121,4250512.241813415,-1664.1067454316653,-1711.5811338927597,2157.5013037896715
317.0,2170470.5374072045,4321066.777576634,4252666.674968918,-1667.4868392266799,-1717.6062071556225,2151.363606098108
318.0,2168801.3609881895,4319346.15945281,4254814.969025611,-1670.8650437300093,-1723.6287638228387,2145.22313043708
319.0,2167128.8073197445,4317619.520048988,4256957.121229792,-1674.241315186955,-1729.6487266714685,2139.0799282537773
320.0,2165452.8783578156,4315886.861999467,4259093.1288821185,-1677.615605551051,-1735.6660106307827,2132.9340571151115
321.0,2163773.5761086424,4314148.1880277265,4261222.989344022,-1680.9878620582167,-1741.6805219925009,2126.785581349861
322.0,2162090.902633699,4312403.500955482,4263346.700044818,-1684.3580267580692,-1747.692157538142,2120.634572764393
323.0,2160404.8600551262,4310652.80371265,4265464.258489551,-1687.7260359888896,-1753.7008035685867,2114.4811114338227
324.0,2158715.4505617213,4308896.099348345,4267575.662267686,-1691.0918197978754,-1759.7063348228112,2108.3252865890972
325.0,2157022.6764155305,4307133.391043005,4269680.909062729,-1694.4553012996912,-1765.7086132843979,2102.1671976088546
326.0,2155326.539959122,4305364.682121776,4271779.996662904,-1697.816395957023,-1771.707486842759,2096.0069551221095
327.0,2153627.0436236165,4303589.976069319,4273872.922972973,-1701.1750107854605,-1777.7027878100052,2089.8446822413243
328.0,2151924.189937551,4301809.276546156,4275959.686027386,-1704.531043465715,-1783.6943312613294,2083.6805159491487
329.0,2150217.981536685,4300022.587406796,4278040.284004872,-1707.8843813547865,-1789.6819131849334,2077.5146086402237
330.0,2148508.4211748415,4298229.912719786,4280114.715244667,-1711.2349003818817,-1795.665308419615,2071.3471298571676
331.0,2146795.5117359213,4296431.256789957,4282182.978264586,-1714.5824638169724,-1801.644268344622,2065.1782682370394
332.0,2145079.2562472075,4294626.624183097,4284245.071781141,-1717.9269208968617,-1807.6185183003545,2059.0082336892374
333.0,2143359.6578941275,4292816.019753356,4286300.994731965,-1721.2681052838452,-1813.5877546938136,2052.837259847205
