t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
1027.0,1503042.9781715218,3049593.180108804,5421409.122574363,-640.5443126261234,-788.7506122021005,780.409333162941
1028.0,1502402.8225530747,3048804.7904752344,5422187.506247056,-639.8060411376646,-788.0923286683392,776.3154497211799
1029.0,1501763.3660892465,3048016.995451467,5422961.753473805,-639.1444739379222,-787.5588124529459,772.1386251733638
1030.0,1501124.5336051988,3047229.6728503285,5423731.783497402,-638.5565843924414,-787.1449635063764,767.8831501202658
1031.0,1500486.2529204616,3046442.7055244544,5424497.519774046,-638.039411853184,-786.8458038147073,763.5531638571993
1032.0,1499848.4547814925,3045655.981242699,5425258.889825117,-637.5900642002234,-786.6564799619373,759.1526605873369
1033.0,1499211.0727920611,3044869.3925645305,5426015.8250952205,-637.2057196859969,-786.5722646703944,754.6854957495816
1034.0,1498574.0433421205,3044082.8367133583,5426768.260816616,-636.8836281547556,-786.5885574335698,750.1553923990577
1035.0,1497937.3055357516,3043296.2154496633,5427516.135880019,-636.6211117148632,-786.7008843566291,745.5659475992434
1036.0,1497300.8011186908,3042509.434944645,5428259.3927118145,-636.4155649269233,-786.9048973061144,740.9206387917511
1037.0,1496664.4744058978,3041722.405655051,5428997.977157602,-636.2644545648945,-787.196372450795,736.2228301097639
1038.0,1496028.272209561,3040935.0421997434,5429731.838372034,-636.1653190081706,-787.5712082888931,731.4757786169648
1039.0,1495392.1437678814,3040147.2632384733,5430460.928714836,-636.1157673165435,-788.0254232354928,726.682640440762
1040.0,1494756.0406749279,3039358.9913532725,5431185.203652916,-636.113478027517,-788.555152829038,721.8464768049307
1041.0,1494119.9168118264,3038570.1529328153,5431904.621668446,-636.1561977174133,-789.156646619318,716.9702599332668
1042.0,1493483.728279493,3037780.678060034,5432619.144172782,-636.241739365505,-789.8262648007367,712.0568788261153
1043.0,1492847.4333330954,3036990.500403214,5433328.735426098,-636.3679805512074,-790.5604746236932,707.1091449065134
1044.0,1492210.9923183906,3036199.5571107864,5434033.362462595,-636.5328615143662,-791.3558466355316,702.1297975177877
1045.0,1491574.3676100667,3035407.7887099427,5434732.995021134,-636.7343831006438,-792.209050784586,697.1215092972852
1046.0,1490937.5235521893,3034615.1390092173,5435427.60548119,-636.9706046181964,-793.1168524180539,692.0868914094754
1047.0,1490300.4264008303,3033821.5550051066,5436117.168803953,-637.239641625667,-794.0761082079262,687.0284986402839
1048.0,1489663.044268938,3033026.9867928014,5436801.66247847,-637.539663665113,-795.0837620184757,681.9488343656994
1049.0,1489025.3470735,3032231.3874810697,5437481.066472684,-637.8688919567503,-796.1368407476693,676.8503553946503
1050.0,1488387.3064850245,3031434.713111306,5438155.36318926,-638.225597069948,-797.2324501543771,671.7354766852222
1051.0,1487748.8958793601,3030636.922580761,5438824.5374260545,-638.6080965781584,-798.3677706830204,666.6065759444609
1052.0,1487110.0902918682,3029837.97756994,5439488.5763411485,-639.0147527100053,-799.5400533056818,661.4659981233999
1053.0,1486470.8663739401,3029037.8424741495,5440147.469422301,-639.4439700047951,-800.7466153909918,656.3160597956739
1054.0,1485831.2023518586,3028236.484339158,5440801.20846074,-639.8941929752473,-801.9848366000224,651.1590534443967
1055.0,1485191.0779879896,3027433.8728009495,5441449.78752919,-640.3639037874527,-803.2521548271179,645.9972516479902
1056.0,1484550.4745442837,3026629.980029504,5442093.202964036,-640.8516199592268,-804.5460621856619,640.8329111789353
1057.0,1483909.3747480712,3025824.780676578,5442731.453351548,-641.3558920830255,-805.8641010411084,635.6682770196348
1058.0,1483267.7627601177,3025018.2518274216,5443364.539518075,-641.8753015744733,-807.2038600996602,630.5055862916633
1059.0,1482625.6241449222,3024210.372956379,5443992.464524131,-642.4084584480152,-808.5629705511965,625.3470721174963
